position,guid,name,steamid
837,FF0110000146CC6E92,JxckWxlters,76561199148068498
838,FF011000013E23CDCA,?,76561199002799562
839,FF0110000140537294,MurkG_G | Devil Racing Team,76561199039476372
839,FF011000011CBA44FB,Mauri,76561198442235131
840,FF0110000112166548,BluCamo,76561198263723336
840,FF011000013A7F9208,Scrubaliciousb\\  nino  //   [1,76561198941704712
841,FF01100001111210D0,C. Thompson,76561198246662352
842,FF0110000148F6704D,murphmoto,76561199184375885
843,FF0110000137A76B73,James Petch,76561198893984627
843,FF011000011B78D9EB,Washougal Local,76561198421170667
844,FF01100001095A4C94,KaPaEST-Grossi Pood Racing Team,76561198117178516
845,FF011000010B077D7C,Sagga,76561198145305980
846,FF0110000109F5930F,Hyze,76561198127354639
846,FF011000010F9C9FB0,Wailgoat,76561198222188464
847,FF0110000147F8FA2D,ollie,76561199167765037
847,FF011000010956900A,RONS,76561198116933642
848,FF01100001452F42F2,Sunshine,76561199120990962
848,FF011000014BBCA9E8,Jye,76561199230921192
849,FF011000010E5C102D,whiteout,76561198201180205
850,FF01100001434808CC,tacoburrito67,76561199089060044
851,FF011000010D669EF5,goonga ginga | PCR,76561198185094901
852,FF011000010CAA4C67,Tbone,76561198172752999
853,FF0110000116E924A9,Jay | privateer,76561198344643753
854,FF011000013D0C9A1C,iSwifty,76561198984501788
854,FF01100001449A3D76,quakezz | MFV,76561199111224694
855,FF01100001089B8653,Dylan,76561198104675923
856,FF01100001438A67D5,281 Only Fans/Twisted Tea Racin,76561199093409749
857,FF0110000109EEA668,ProtonVII,76561198126900840
858,FF011000013247D1D1,GlizzyKing,76561198803833297
858,FF01100001480F68EC,Mr.Cream,76561199169235180
859,FF0110000119B9AC1B,brice denis,76561198391864347
860,FF0110000149582D61,urbantrobec21,76561199190781281
861,FF011000014663EAC6,CG | Bluff City Performance,76561199141219014
861,FF011000010B0B6FCD,pupustyle,76561198145564621
862,FF0110000143DD860F,Romanmx192,76561199098856975
863,FF01100001384639B2,Pack | PBR Racing,76561198904392114
864,FF011000013EC2043D,JPM,76561199013168189
865,FF011000010E2D6A56,muggo,76561198198123094
866,FF011000011079F758,rhyslootz,76561198236694360
867,FF01100001118C1B92,KnutS1,76561198254660498
868,FF01100001086EB25C,Shillippe,76561198101738076
869,FF0110000145483EA7,NRoderick \ Privateer,76561199122628263
869,FF0110000144BBD3AA,Windi,76561199113425834
870,FF01100001377DDBFE,jaxonxxbutler,76561198891260926
871,FF01100001192753C5,niga,76561198382273477
872,FF0110000147183363,Steezy Mx,76561199153034083
872,FF011000011A6CB960,Toad,76561198403598688
873,FF011000011CBDEA10,bigdflyer,76561198442474000
874,FF0110000132DF8B80,Fade,76561198813776768
875,FF011000011B91E6A4,siidezz,76561198422812324
876,FF011000010A29B702,JV,76561198130771714
877,FF01100001453A4984,Swix | Shotty Racing |,76561199121713540
878,FF011000010941A22B,DEEEZZ,76561198115562027
879,FF0110000143B99DC7,Ryan Clements | Wonder Bread Bo,76561199096503751
880,FF011000013B0ADA74,Hakon | Acemoto,76561198950832756
880,FF011000013D0BBDE5,Nathan Gregory,76561198984445413
881,FF01100001470EA85C,Kategre | Ryze Decals,76561199152408668
